"diff"	"lwr"	"upr"	"p adj"
"NT6-NT3"	0.836945134642121	0.410629088469395	1.26326118081485	5.45300775645075e-08
"LA3-NT3"	0.28941660971694	-0.233626994031265	0.812460213465145	0.866661323373264
"LA6-NT3"	0.893826526091214	0.37078292234301	1.41687012983942	3.29900450146692e-06
"HA3-NT3"	0.0615297530792691	-0.461513850668936	0.584573356827474	0.999999999843465
"HA6-NT3"	0.811502232709364	0.336661648047277	1.28634281737145	3.29358390405154e-06
"LN3-NT3"	0.150496600540742	-0.411342356082173	0.712335557163657	0.999950246340177
"LN6-NT3"	0.445077607496991	-0.0779659962512139	0.968121211245196	0.196599431548977
"HN3-NT3"	-0.0491303235137004	-0.610969280136615	0.512708633109215	0.999999999998994
"HN6-NT3"	0.296149953481844	-0.199345431882236	0.791645338845924	0.780774612180094
"LP3-NT3"	-0.113563994391513	-0.636607598139718	0.409479609356692	0.999997577966477
"LP6-NT3"	0.869552969284417	0.374057583920337	1.3650483546485	1.59231694873974e-06
"HP3-NT3"	0.0250654417204759	-0.497978162027729	0.548109045468681	1
"HP6-NT3"	0.771135947890048	0.312396360775437	1.22987553500466	5.1113100496547e-06
"LC3-NT3"	0.0218490273810148	-0.473646357983065	0.517344412745094	1
"LC6-NT3"	0.810942664279866	0.352203077165255	1.26968225139448	1.2976126952946e-06
"HC3-NT3"	-0.094710712712188	-0.656549669335103	0.467128243910727	0.999999949629961
"HC6-NT3"	0.768104794206738	0.245061190458533	1.29114839795494	0.000127674892561047
"LA3-NT6"	-0.54752852492518	-1.04237999138776	-0.052677058462596	0.0155389949717587
"LA6-NT6"	0.0568813914490938	-0.437970075013491	0.551732857911678	0.999999999892817
"HA3-NT6"	-0.775415381562852	-1.27026684802544	-0.280563915100267	2.95502171733242e-05
"HA6-NT6"	-0.0254429019327564	-0.469038374498127	0.418152570632614	1
"LN3-NT6"	-0.686448534101378	-1.2221409604221	-0.150756107780652	0.00174521181270471
"LN6-NT6"	-0.39186752714513	-0.886718993607714	0.102983939317455	0.304737302623751
"HN3-NT6"	-0.886075458155821	-1.42176788447655	-0.350383031835094	7.77376058680446e-06
"HN6-NT6"	-0.540795181160276	-1.0064334950428	-0.0751568672777533	0.00807486017729231
"LP3-NT6"	-0.950509129033633	-1.44536059549622	-0.455657662571049	1.09194149611191e-07
"LP6-NT6"	0.0326078346422962	-0.433030479240227	0.498246148524819	1
"HP3-NT6"	-0.811879692921645	-1.30673115938423	-0.31702822645906	9.57087354036545e-06
"HP6-NT6"	-0.0658091867520723	-0.492125232924798	0.360506859420653	0.999999987448997
"LC3-NT6"	-0.815096107261106	-1.28073442114363	-0.349457793378583	1.7083867467349e-06
"LC6-NT6"	-0.026002470362255	-0.45231851653498	0.40031357581047	1
"HC3-NT6"	-0.931655847354309	-1.46734827367504	-0.395963421033582	2.04502886869129e-06
"HC6-NT6"	-0.0688403404353823	-0.563691806897967	0.426011126027202	0.999999997622451
"LA6-LA3"	0.604409916374274	0.0241451371073138	1.18467469564123	0.0321999839331667
