"","pairs","F.Model","R2","p.value","p.adjusted"
"1","50_0 vs 7_0",7.03412098874019,0.082721158365024,0.001,0.00115384615384615
"2","50_0 vs 7_3",6.8736014638893,0.0773413179017185,0.001,0.00115384615384615
"3","50_0 vs 7_6",10.137457830323,0.102256584465516,0.001,0.00115384615384615
"4","50_0 vs 50_3",10.3352881284311,0.118340345007307,0.001,0.00115384615384615
"5","50_0 vs 50_6",14.7303697166644,0.134241502645984,0.001,0.00115384615384615
"6","7_0 vs 7_3",4.57971559682137,0.0582811424301799,0.001,0.00115384615384615
"7","7_0 vs 7_6",6.59496340095662,0.0752892991206455,0.001,0.00115384615384615
"8","7_0 vs 50_3",16.4454307053226,0.192467058443866,0.001,0.00115384615384615
"9","7_0 vs 50_6",23.4587300563165,0.212375518389142,0.001,0.00115384615384615
"10","7_3 vs 7_6",1.921287539354,0.0221037629991862,0.006,0.00642857142857143
"11","7_3 vs 50_3",6.67995648645917,0.0838348410443016,0.001,0.00115384615384615
"12","7_3 vs 50_6",9.90465138760993,0.0981585214497468,0.001,0.00115384615384615
"13","7_6 vs 50_3",9.77225229524469,0.108856044550442,0.001,0.00115384615384615
"14","7_6 vs 50_6",13.3745738194645,0.120086419734762,0.001,0.00115384615384615
"15","50_3 vs 50_6",1.16247790813859,0.0133369075322037,0.203,0.203
