"","A0","A3","A6","C0","C3","C6","N0","N3","N6","NT0","NT3","NT6","P0","P3"
"A3",0.0816359784911194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A6",0.0174821644905102,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C0",1,0.187397991003304,0.0816359784911194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3",0.856958268300796,0.109008638420403,0.0816359784911194,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C6",0.00561313770359402,0.833376182640889,0.675309116781724,0.0275065491783758,0.0214891448570275,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N0",0.917885210764468,0.0888759914200754,0.0251911830859199,0.896890081749237,0.833685520992023,0.00725280911039425,NA,NA,NA,NA,NA,NA,NA,NA
"N3",1,0.132986208837602,0.0949432404540764,1,0.925133689839572,0.0251911830859199,0.925133689839572,NA,NA,NA,NA,NA,NA,NA
"N6",0.738959115995056,0.388792064488659,0.179735434843794,0.833685520992023,1,0.0816359784911194,0.660944507429443,0.833685520992023,NA,NA,NA,NA,NA,NA
"NT0",1,0.109008638420403,0.0587484597782081,1,1,0.015469521728776,0.917885210764468,1,0.864496877365969,NA,NA,NA,NA,NA
"NT3",0.833685520992023,0.917885210764468,0.833685520992023,1,0.728772001991816,0.345796618242439,0.833685520992023,0.680381633870006,1,0.833685520992023,NA,NA,NA,NA
"NT6",1,0.833685520992023,0.418636309065707,1,0.856958268300796,0.154134325160267,0.968820415117153,0.833685520992023,1,0.896890081749237,1,NA,NA,NA
"P0",1,0.132986208837602,0.0397316821465428,1,0.871353710228391,0.015469521728776,0.833685520992023,0.917885210764468,0.827450396912224,1,1,1,NA,NA
"P3",1,0.0816359784911194,0.0309541900236843,1,0.833685520992023,0.00725280911039425,0.833685520992023,1,0.833685520992023,1,0.844570564239682,1,1,NA
"P6",0.0888759914200754,0.833685520992023,0.729838430067263,0.230470356849033,0.546450453571197,0.28748250474712,0.0759921193357726,0.477512683395036,0.553938708350473,0.268931275123226,0.871353710228391,0.833685520992023,0.111915535444947,0.132986208837602
